Nama_Obat;Manufacturer;Content;Indications;Contraindications;Adverse_Reactions;Diseases;MIMS_Class
Lamiros;Mersifarma TM;Lamotrigine;Monotherapy or adjuvant therapy in epilepsy, partial & generalized seizures eg, tonic-clonic seizures associated with Lennox-Gastaut syndrome.;Hypersensitivity.;Skin rash, fever, lymphadenopathy. SJS, TEN. Blood & lymphatic system disorders. Irritability, aggression, tics, hallucination, confusion. Headache, drowsiness, insomnia, dizziness, tremor, ataxia. Diplopia, blurred vision, conjunctivitis. GI disorders. Increased liver function test, hepatic dysfunction & failure. Lupus-like reactions. Tiredness.;"Epilepsy; Epilepsy (Pediatric); Bipolar Disorder.";Anticonvulsants
Lepsio;Dexa Medica;Valproic acid;As sole agent or adjunctive treatment of partial epilepsy (simple & complex epilepsy) & absence seizure (petit mal).;Patients with liver disease or significant liver dysfunction, urea cyclic disorders.;"Nausea, vomiting, GI disturbances; sedation, tremor, ataxia, headache, nystagmus, diplopia, asterixia, spots before eyes, disarthria, dizziness, incoordination; hair loss (temporary), skin rash, erythema multiforme; emotional disorders, depression, psychosis, aggresion, hyperactive, vandalism; musculoskeletal weakness; thrombocytopenia, ptechiae, bruise, hematoma, hemorrhage, limphocytosis, hypofibrinogenemia, leucopenia, eosinophilia, anemia, bone marrow suppression; increased serum transaminase level & LDH, bilirubin & other abnormalities result of liver function test; irregualr menstruation, secondary amenorrhea, gynecomastia, galactorrhea, abnormality result of thyroid function test; acute pancreatitis; hyperamonemia, hyperglycinemia, edema of the extremities.";"Epilepsy; Epilepsy (Pediatric); Headache; Migraine Headache; Bipolar Disorder; Rheumatic Fever - Acute.";Anticonvulsants
Lepsy;Yarindo Farmatama;Levetiracetam;Adjunctive therapy for partial seizure with or without secondary generalization in epileptic patients.;Hypersensitivity to levetiracetam or other pyrrolidone derivatives or other additives.;Asthenia, drowsiness, amnesia, ataxia, convulsion, dizziness, headache, tremor, depression, emotion liability, hostility, insomnia, nervousness, abnormal behavior, aggression, anger, anxiety, confusion, hallucination, irritability, psychosis, diarrhea, dyspepsia, nausea, anorexia, vertigo, skin rash, leucopenia, neutropenia, thrombocytopenia, pancytopenia.;"Epilepsy; Epilepsy (Pediatric).";Anticonvulsants
Leptica;Dexa Medica;Pregabalin;Peripheral & central neuropathic pain & generalized anxiety disorder in adults. Adjunctive therapy of partial seizures with or without secondary generalization in adults.;Hypersensitivity.;"Blood & lymphatic system disorders, metabolism & nutrition disorders, nervous system, eye, ear & labyrinth, cardiac, vascular, resp, throracic & mediastinal, GI, skin & SC tissue, musculoskeletal & connective tissue, renal & urinary disorders, & reproductive system & breast disorders; fatigue, peripheral edema, edema, gait abnormalities, asthenia, thirsty, chest tightness, pain, exacerbated anasarca, pyrexia, rigors; increased ALT, blood creatinine, phosphokinase, AST; decreased platelet count; increased blood glucose.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Levexa;Amarox;Levetiracetam;Adjunctive treatment of partial onset of seizures with or without secondary generalisation in patients with epilepsy.;Hypersensitivity to levetiracetam or other pyrrolidone derivatives.;Somnolence, asthenia & dizziness.;"Epilepsy; Epilepsy (Pediatric).";Anticonvulsants
Lyrica;Pfizer;Pregabalin;Peripheral & central neuropathic pain in adults. As adjunctive therapy in adults with partial seizures with or without secondary generalization. Generalized Anxiety Disorder (GAD) in adults. Reduce pain in the management of fibromyalgia.;Hypersensitivity.;"Dizziness, somnolence; headache. Nasopharyngitis, increased appetite, euphoric mood, confusion, irritability, depression, disorientation, insomnia, decreased libido; ataxia, abnormal coordination, tremor, dysarthria, amnesia, memory impairment, disturbance in attention, paraesthesia, hypoesthesia, sedation, balance disorder, lethargy; blurred vision, diplopia; vertigo; vomiting, constipation, flatulence, abdominal distension, dry mouth; muscle cramp, arthralgia, back pain, pain in limb, cervical spasm; peripheral oedema, oedema, abnormal gait, fall, feeling drunk, feeling abnormal, fatigue; increased weight; nausea, diarrhea.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Lyrigad;Ikapharmindo;Pregabalin;Peripheral & central neuropathic pain, generalized anxiety disorder (GAD) in adults. Pain reduction in the management of fibromyalgia. Adjunct in adults with partial seizures with or without secondary generalization.;Hypersensitivity.;"Dizziness, somnolence; headache. Increased appetite, euphoric mood, confusion, irritability, depression, disorientation, insomnia, ataxia, abnormal coordination, tremor, dysarthria, amnesia, hypoesthesia, sedation, lethargy; blurred vision, diplopia; vertigo; vomiting, constipation, flatulence.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants / Drugs for Neuropathic Pain
Neufar;Fahrenheit;Pregabalin;Neuropathic pain in adults. Adjunctive therapy in adults with partial seizures with or without secondary generalization.;Hypersensitivity.;"Dizziness, somnolence. Increased appetite; euphoric mood, confusion, decreased libido, irritability; ataxia, disturbance in attention, abnormal coordination, memory impairment, tremor, dysarthria, paraesthesia; blurred vision, diplopia; vertigo; dry mouth, constipation, vomiting, flatulence; erectile dysfunction; fatigue, peripheral edema, feeling drunk, edema, abnormal gait; increased weight.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Neurontin;Pfizer;Gabapentin;Neuropathic pain in adult ≥18 year. Adjunctive therapy in partial seizures with or without secondary generalization in adult & childn ≥3 year.;Hypersensitivity. Patients with acute pancreatitis. Not for primarily generalized seizures eg, absences. Patients with galactosemia due to their lactose content.;"Abdominal pain, back pain, fatigue; fever, headache, viral infection; vasodilation; constipation, dental abnormalities, diarrhea, dyspepsia, increased appetite, dry mouth/throat, nausea, vomiting; leukopenia, decreased WBC; peripheral edema, increased weight; fracture, myalgia; amnesia, ataxia, confusion, abnormal coordination, depression, dizziness, dysarthria, emotional lability, insomnia, nervousness, nystagmus, somnolence, abnormal thinking, tremor, twitching; coughing, pharyngitis, rhinitis; abrasion, acne, pruritus, rash; amblyopia, diplopia; impotence.";"Epilepsy; Epilepsy (Pediatric); Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants
Neurosantin;Sanbe;Gabapentin;As adjunctive therapy in the treatment of partial seizures with & without secondary generalization in adults & childn ≥3 year. Treatment of neuropathic pain in patients ≥18 year.;Hypersensitivity. Patients with acute pancreatitis. Not effective against primarily generalized seizures, eg, absences.;"Abdominal, back pain, fatigue, fever, headache, viral infection; vasodilation; constipation, dental abnormalities, diarrhea, increased appetite, dry mouth or throat, nausea &/or vomiting, dyspepsia; leucopenia, decreased WBC; peripheral edema, increased weight; fracture, myalgia; amnesia, ataxia, confusion, abnormal coordination, depression, dizziness, dysarthria, emotional lability, insomnia, nervousness, nystagmus, somnolence, abnormal thinking, tremor, twitching; cough, pharyngitis, rhinitis; abrasion, acne, pruritus, rash; amblyopia, diplopia; impotence.";"Epilepsy; Epilepsy (Pediatric); Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Nevalin;Kimia Farma;Pregabalin;Peripheral & central neuropathic pain in adults. Adjunctive therapy in adults with partial seizures with or without secondary generalization. Generalized anxiety disorder & pain in fibromyalgia.;Hypersensitivity.;"Dizziness, somnolence. Nasopharyngitis; neutropenia; increased appetite, anorexia, hypoglycemia; psychiatric disorder; nervous system disorder; eye disorder; vertigo, hyperacusis; cardiac disorder; vascular disorder; resp, thoracic & mediastinal disorder; GI disorder; skin & subcutaneous tissue disorder; musculoskeletal & connective tissue disorder; renal & urinary disorder; reproductive system & breast disorder; peripheral oedema, oedema, gait abnormal, fall, feeling drunk, feeling abnormal, fatigue, generalized oedema, chest tightness, pain pyrexial, thirst, chill, asthenia, malaise; increased weight, blood creatine phosphokinase, ALT, AST, blood glucose, blood creatinine; decreased platelet count, blood K, weight, WBC; hypersensitivity, angioedema, allergic reaction.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Nomathic;Darya-Varia;Pregabalin;Peripheral & central neuropathic pain in adults. Adjunctive therapy in adults with partial seizures, with or without secondary generalization. Generalized anxiety disorder (GAD). Pain reduction in fibromyalgia.;Hypersensitivity.;Dizziness, somnolence.;"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Nozepav;Novell Pharma;Diazepam;Convulsions including febrile convulsion in childn.;"Hypersensitivity to benzodiazepines. Acute pulmonary insufficiency, resp depression; myasthenia gravis.";"Drowsiness, sedation, blurred vision, unsteadiness, ataxia; vertigo, headache, confusion, slurred speech, visual disturbance, tremor, change in libido, skin rashes, GI upset.";"Anxiety; Epilepsy; Epilepsy (Pediatric); Low Back Pain.";Anticonvulsants
Opipentin;Otto;Gabapentin;Adjunctive therapy in partial seizures with or without secondary generalization in adult & childn ≥3 year. Treatment of neuropathic pain in adult ≥18 year.;Hypersensitivity. Patients with acute pancreatitis, ineffective to general primer seizure like absence, galactose intolerance or galactosemia related to the lactose content.;Abdominal pain, backache, fatigue, fever, headache, viral infection, vasodilation, constipation, diarrhea, dyspepsia, dry mouth, nausea, vomiting, leukopenia, peripheral edema, weight gain, bone fracture, myalgia, amnesia, ataxia, cough, pharyngitis, rhinitis.;"Epilepsy; Epilepsy (Pediatric); Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Phenytoin Ikapharmindo;Ikapharmindo;Phenytoin Na;"Cap: Control tonic & psychomotor epilepsy attack. Injection: Status epilepticus; prevention & treatment of seizures in neurosurgery.";Hypersensitivity to phenytoin or other hydantoin. Injection: Sinus bradycardia.;"Nausea, vomiting, constipation, hepatitis; nystagmus, ataxia, speaking difficulty, tremors, confusion, dizziness, insomnia, morbilliform rash; SLE, lymphadenopathy, leukopenia, thrombocytopenia, agranulocytosis, megaloblastic anemia. Cap: SJS, diplopia, bone marrow depression. Injection: Nervousness, motor twitching, headache; liver damage; granulocytopenia, pancytopenia, macrocytosis; coarsening of the face, enlargement of the lips, gingival hyperplasia, hypertrichosis, Peyronie's disease; periarteritis nodosa; hypersensitivity reactions, abnormal Ig.";"Epilepsy; Epilepsy (Pediatric); Migraine Headache; Neuropathic Pain; Tachycardia.";Anticonvulsants
Pregabalin Ikapharmindo;Ikapharmindo;Pregabalin;Peripheral & central neuropathic pain, generalized anxiety disorder (GAD) in adults. Pain reduction in the management of fibromyalgia. Adjunct in adults with partial seizures with or without secondary generalization.;Hypersensitivity.;"Dizziness, somnolence; headache. Increased appetite, euphoric mood, confusion, irritability, depression, disorientation, insomnia, ataxia, abnormal coordination, tremor, dysarthria, amnesia, hypoesthesia, sedation, lethargy; blurred vision, diplopia; vertigo; vomiting, constipation, flatulence.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants / Drugs for Neuropathic Pain
Pregamax;Simex;Pregabalin;Peripheral & central neuropathic pain in adults. As adjunctive therapy in adults with partial seizures with or without secondary generalization. Generalized anxiety disorder in adults. Reduce pain in the management of fibromyalgia.;Hypersensitivity.;"Increased appetite; euphoric mood, confusion, libido decreased, irritability, depression, disorientation, insomnia; dizziness, somnolence; blurred vision, diplopia; vertigo; tachycardia; flushing, hot flushes; dyspnea, dry nose; dry mouth, constipation, flatulence, vomiting; sweating, red papules; muscle twitch, swollen joints, muscle cramps, myalgia, arthralgia, back pain, limb pain, muscle spasm; dysuria, urinary incontinence; erectile dysfunction; fatigue, peripheral oedema, feeling drunk, oedema, abnormal gait; increased weight.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants / Drugs for Neuropathic Pain
Pregamep;Meprofarm;Pregabalin;Neuropathic pain, epilepsy, anxiety, fibromyalgia.;Hypersensitivity.;Nasopharyngitis, neutropenia, increased appetite, anorexia, hypoglycemia, psychiatric effects, neurological effects, vertigo, hyperacusis, sinus tachycardia, sinus bradycardia, stage 1 AV block, sinus arrhythmia, hot flushes, hypotension, cold extremities, HTN, flushing, dyspnea, epistaxis, cough, nasal congestion, GI disorders, skin & SC disorders, musculoskeletal & connective tissue disorders, incontinence urine, dysuria, kidney failure, oliguria, reproductive system & breast disorders, weight gain, hypersensitivity, allergic reaction.;"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants / Drugs for Neuropathic Pain
Pregex;Amarox;Pregabalin;Peripheral & central neuropathic pain in adults. As adjunctive therapy in adults with partial seizures with or without secondary generalization. Generalized anxiety disorder in adults. Reduce pain in the management of fibromyalgia.;Hypersensitivity.;"Dizziness, somnolence; headache. Nasopharyngitis; appetite increased; euphoric mood, confusion, libido decreased, irritability, depression, disorientation, insomnia; ataxia, disturbance in attention, coordination abnormal, tremor, dysarthria, amnesia, memory impairment, paraesthesia, hypoesthesia, sedation, balance disorder, lethargy; blurred vision, diplopia; vertigo; dry mouth, constipation, flatulence, vomiting, abdominal distention; nausea, diarrhea; muscle cramp, arthralgia, back pain, pain in limb, cervical spasm; fatigue, peripheral oedema, fall, feeling drunk, oedema, abnormal gait; increased weight.";"Anxiety; Epilepsy; Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain; Diabetes Mellitus.";Anticonvulsants / Drugs for Neuropathic Pain
Sanbetoin;Sanbe;Phenytoin Na;"Control of status epilepticus of the tonic-clonic (grand mal) type & prevention & treatment of seizures occurring during or following neurosurgery &/or severe head injury. Treatment of migraine, trigeminal neuralgia & certain psychoses; cardiac arrhythmias, digitalis intoxication, & post-event treatment of MI.";Hypersensitivity to phenytoin or other hydantoins. Sinus bradycardia, SA block, second & third degree AV block, Adams-Stoke syndrome. Co-administration with delavirdine.;"Anaphylactoid reaction & anaphylaxis; CV, connective tissue, GI, hematopoietic, dermatology system; CNS; immunologic; injection site reactions; thyroid function test abnormal; taste perversion.";"Epilepsy; Epilepsy (Pediatric); Migraine Headache; Neuropathic Pain; Tachycardia.";Anticonvulsants
Sibital;Mersifarma TM;Phenobarb;Anticonvulsant, hypnotic & sedative.;"Psychoneurotics; hypoxia eg, asthma, emphysema, heavy anemia; parkinsonism; high-breathing depression & porphyrias. Hepatic & renal diseases. Pregnancy & lactation.";Fatigue, vertigo, drowsiness, hang-over, restlessness, bone pain, allergic skin reactions, mental confusion, dizziness, ataxia, depression, agitation & skin rashes.;"Epilepsy; Epilepsy (Pediatric).";Anticonvulsants
Simtin;Simex;Gabapentin;Epilepsy (partial seizure with or without secondary general seizure). Neuropathic pain in adult ≥18 year.;Hypersensitivity. Acute pancreatitis.;Headache, drowsiness, tremor, nausea, vomiting, fatigue. Nystagmus, tremor, diplopia, amblyopia, dysarthria, amnesia, asthenia, paresthesia, arthralgia, purpura, dyspepsia, anxiety, weight gain, UTI, pharingitis, leucopenia, abnormal thinking, erythema multiforme, SJS, confusion, depression, emotional lability, hostility, hallucination, blood glucose fluctuation, rhinitis, nervousness, myalgia, headache, nausea, vomiting.;"Epilepsy; Epilepsy (Pediatric); Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Tineuron;Lapi;Gabapentin;Adjunct therapy for partial epilepsy with or without secondary general seizure. Treatment of neuropathic pain in adults (≥18 year).;Acute pancreatitis. Not effective for primary generalized seizure.;Headache, drowsiness, tremor, nausea, vomiting, fatigue, nystagmus, dyplopia, amblyopia, dysarthria, amnesia, asthenia, paresthesia, arthralgia, purpura, dyspepsia, anxiety, weight gain, UTI, pharyngitis, leucopenia, abnormal thinking, pancreatitis, increased liver function test, erythema multiforme, SJS, confusion, depression, emotional lability, hostility, hallucination, fluctuation of blood sugar in diabetes, rhinitis, nervousness, myalgia.;"Epilepsy; Epilepsy (Pediatric); Cancer Pain; Fibromyalgia; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Anticonvulsants
Topamax;Johnson & Johnson;Topiramate;Monotherapy in patients with newly diagnosed epilepsy or for conversion to monotherapy in patients with epilepsy. Adjunctive therapy for adult & childn (≥2 year) with partial onset seizures or generalized tonic-clonic seizures. Adjunctive therapy in seizures associated with Lennox-Gastaut syndrome. Migraine headache prophylaxis in adults.;Hypersensitivity.;Somnolence, dizziness, fatigue, irritability, decreased weight, bradyphrenia, paresthesias, diplopia, abnormal coordination, nausea, nystagmus, lethargy, anorexia, dysarthria, blurred vision, decreased appetite, memory impairment, diarrhea, decreased appetite, disturbance in attention, aggression, rash, abnormal behavior, balance disorder, constipation, depression, anxiety, asthenia, dysgeusia, hypoesthesia, pyrexia, alopecia, insomnia, expressive language disorder.;"Epilepsy; Epilepsy (Pediatric); Headache; Migraine Headache.";Anticonvulsants
Valeptik;Otto;Valproic acid;Monotherapy or adjunctive therapy on the treatment of partial seizures (simple & complex) & absence seizure (petit mal seizures).;Hypersensitivity. Patients with hepatic disease or hepatic dysfunction.;Nausea, vomiting, indigestion, diarrhea, abdominal pain, constipation, decreased appetite & weight loss or increased appetite & weight gain, sedation, tremor, ataxia, headache, nystagmus, diplopia, asterixis, dysarthria, impaired coordination, alopecia/hair loss, skin rash, erythema multiforme, SJS, emotional upset, depression, psychosis, aggressions, hyperactivity, weakness, thrombocytopenia, hemorrhage, bruising, anemia, bone marrow suppresion, elevated transaminase & bilirubin, abnormal thyroid function, amenorrhagia, galactorrhea, acute pancreatitis, hyperammonemia, hyperglycinemia, edema on extremities.;"Epilepsy; Epilepsy (Pediatric); Headache; Migraine Headache; Bipolar Disorder; Rheumatic Fever - Acute.";Anticonvulsants
Vellepsy;Novell Pharma;Valproic acid;Sole or adjunctive therapy in the treatment of partial & absence seizures.;Hypersensitivity. Known urea cycle disorders, hepatic disease, hepatic dysfunction.;Constipation, diarrhea, dizziness, drowsiness, headache, increased or decreased appetite, mild hair loss, nausea, sore throat, stomach pain or upset, trouble sleeping, vomiting, weight gain, indigestion, abdominal cramps.;"Epilepsy; Epilepsy (Pediatric); Headache; Migraine Headache; Bipolar Disorder; Rheumatic Fever - Acute.";Anticonvulsants
Zonegran;Eisai;Zonisamide;Monotherapy for partial seizures with or without secondary generalisation in adults with newly diagnosed epilepsy. Adjunctive therapy for partial seizures in adults with epilepsy.;Hypersensitivity to zonisamide or sulfonamides.;"Somnolence, anorexia, dizziness, headache, nausea, agitation/irritability, fatigue &/or ataxia, difficulty concentrating, difficulty with memory, mental slowing, vomiting, & weight loss; accidental injury, asthenia; tremor, convulsions, abnormal gait, hyperesthesia, incoordination; pharyngitis, cough increased; pruritus; amblyopia, tinnitus.";"Epilepsy; Epilepsy (Pediatric).";Anticonvulsants
Concerta;Johnson & Johnson;Methylphenidate HCl;ADHD.;"Hypersensitivity. Patients with glaucoma; concomitant treatment with MAOIs & within 14 days following discontinuation of MAOIs.";Arthralgia, myalgia.;"Narcolepsy; Attention Deficit/Hyperactivity Disorder.";Other CNS Drugs & Agents for ADHD
Prohiber 10;Mersifarma TM;Methylphenidate HCl;ADHD & narcolepsy.;Anxiety, tension, agitation, hyperthyroidism, cardiac arrhythmia, severe angina pectoris, glaucoma. Motor tics, family history or diagnosis of Tourette's syndrome.;Nervousness, insomnia, headache, drowsiness, anorexia, dizziness, dyskinesia, tachycardia, palpitation, arrhythmia, changes in BP & heart rate, abdominal pain, nausea, vomiting, dry mouth, rash, pruritus, urticaria, fever, arthralgia, hair loss.;"Narcolepsy; Attention Deficit/Hyperactivity Disorder.";Other CNS Drugs & Agents for ADHD
Abixa;Lundbeck Export A/S, Indonesia TRO;Memantine HCl;Moderate to severe Alzheimer's disease.;Hypersensitivity. Concomitant use of medications containing N-methyl-D-aspartate (NMDA)-antagonist dextromethorphan.;"Drug hypersensitivity; somnolence; dizziness, balance disorders; HTN; dyspnoea; constipation; elevated liver function test; headache.";"Alzheimer's Disease and Dementia; Parkinson's Disease & Parkinson's Disease Dementia.";Neurodegenerative Disease Drugs
Aldomer;Mersifarma TM;Donepezil HCl;Symptomatic treatment of mild to moderate Alzheimer's dementia.;Hypersensitivity to piperidine derivatives. Childn.;Diarrhea, muscle cramps, fatigue, nausea, vomiting, insomnia, dizziness.;"Alzheimer's Disease and Dementia; Parkinson's Disease & Parkinson's Disease Dementia.";Neurodegenerative Disease Drugs
Alzim;Fahrenheit;Donepezil HCl;Symptomatic treatment of mild or moderate Alzheimer's dementia.;Hypersensitivity to piperadine derivatives.;Diarrhea, muscle cramps, weakness, nausea, vomiting, insomnia, dizziness. Mild increased blood creatinine-kinase level.;"Alzheimer's Disease and Dementia; Parkinson's Disease & Parkinson's Disease Dementia.";Neurodegenerative Disease Drugs
Aricept Evess;Eisai;Donepezil HCl;Symptomatic treatment of mild, moderate & severe Alzheimer's disease (AD).;Hypersensitivity to piperidine derivatives.;Diarrhea, muscle cramps, fatigue, nausea, vomiting, insomnia, headache, anorexia, hallucination, agitation, aggressive behavior, depression, abnormalities, somnolence, syncope, dizziness, abdominal disturbance, rash, pruritus, urinary incontinence, pain, decreased weight, ecchymosis, infection.;"Alzheimer's Disease and Dementia; Parkinson's Disease & Parkinson's Disease Dementia.";Neurodegenerative Disease Drugs
Leparson;Dexa Medica;Levodopa 100 mg, benserazide 25 mg;Parkinsonism, except drug-induced parkinsonism.;"Narrow-angle glaucoma, psychosis; severe endocrine & cardiac disorders; history of melanoma. Concomitant use with sympathomimetic amines. Patients <25 year. Severe renal & hepatic disorders. Pregnancy & lactation.";"Anorexia; arrhythmias, hypotension, abnormal involuntary movements, GI disorders, thrombocytopenia.";Parkinson's Disease & Parkinson's Disease Dementia.;Antiparkinsonian Drugs
Levoben;Mersifarma TM;Levodopa 100 mg, benserazide 25 mg;"All types of Parkinson's syndrome with fluctuation, except drug-induced parkinsonism; control of nocturnal symptoms.";"Narrow-angle glaucoma, psychosis; endocrine, renal, hepatic, pulmonary & CV disorders; osteomalacia, history of peptic ulceration. Patients with suspicious undiagnosed skin lesions or history of melanoma. Concomitant use with a sympathomimetic amine or MAOI. Patients <25 year. Pregnancy & lactation.";"Nausea, vomiting, anorexia; orthostatic hypotension & cardiac arrhythmias; agitation, anxiety, euphoria, nightmares, insomnia, drowsiness & depression; abnormal involuntary dyskinesia.";Parkinson's Disease & Parkinson's Disease Dementia.;Antiparkinsonian Drugs
ReQuip PD 24 Hour;GlaxoSmithKline Indonesia;Ropinirole HCl;"Monotherapy of idiopathic Parkinson's disease; adjunctive treatment with levodopa to control ""on-off"" fluctuations which might permit a reduction in total daily levodopa dose.";Hypersensitivity. Pregnancy & lactation, women of childbearing potential, unless adequate contraception is used.;"Hallucinations; somnolence, syncope; dizziness (including vertigo); postural hypotension, hypotension; nausea; abdominal pain, vomiting, dyspepsia, constipation; peripheral oedema (including leg oedema); nervousness, fatigue.";Parkinson's Disease & Parkinson's Disease Dementia.;Antiparkinsonian Drugs
Sifrol;Boehringer Ingelheim;Pramipexole diHCl;Signs & symptoms of idiopathic Parkinson's disease with or without levodopa. Tab: Symptomatic treatment of idiopathic restless legs syndrome.;Hypersensitivity.;"Abnormal behaviour eg, abnormal dreams, confusion, constipation, dizziness, dyskinesias, fatigue, hallucinations, headache, hypotension, inappropriate antidiuretic hormone secretion, insomnia, nausea, peripheral oedema, pneumonia; somnolence, visual impairment including diplopia, blurred vision & reduced visual acuity, vomiting, decreased weight including decreased appetite, drug withdrawal syndrome.";"Fibromyalgia; Parkinson's Disease & Parkinson's Disease Dementia.";Antiparkinsonian Drugs
Stalevo;Novartis Indonesia;Per 75/18.75/200 mg FC tab Levodopa 75 mg, carbidopa 18.75 mg, entacapone 200 mg. Per 100/25/200 mg FC tab Levodopa 100 mg, carbidopa 25 mg, entacapone 200 mg. Per 125/31.25/200 mg FC tab Levodopa 125 mg, carbidopa 31.25 mg, entacapone 200 mg;Parkinson's disease & end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.;Hypersensitivity. Narrow-angle glaucoma, pheochromocytoma, concomitant use of selective & non-selective MAO-A & MAO-B inhibitor, history of neuroleptic malignant syndrome &/or non-traumatic rhabdomyolysis. Severe hepatic impairment.;"Dyskinesia; diarrhoea, nausea; muscle, musculoskeletal & connective tissue pain; chromaturia. Anaemia; decreased weight & appetite; depression, hallucination, confusional state, abnormal dreams, anxiety, insomnia; aggravated parkinsonism (eg, bradykinesia), tremor, on & off phenomenon, dystonia, mental impairment (eg, memory impairment, dementia), somnolence, dizziness, headache; blurred vision; ischemic heart disease events other than MI (eg, angina pectoris), irregular heart rhythm; orthostatic hypotension, HTN; dyspnoea; constipation, vomiting, dyspepsia, abdominal pain & discomfort, dry mouth; rash, hyperhidrosis; muscle spasms, arthralgia; UTI; chest pain, peripheral oedema, fall, gait disturbance, asthenia, fatigue.";Parkinson's Disease & Parkinson's Disease Dementia.;Antiparkinsonian Drugs
Treatson;Dexa Medica;Pramipexole diHCl monohydrate;Signs & symptoms of idiopathic Parkinson's disease with or without levodopa. Symptomatic treatment of idiopathic restless legs syndrome.;Hypersensitivity.;"Abnormal behavior eg, binge eating, compulsive shopping, hypersexuality & pathological gambling, abnormal dreams, amnesia, confusion, hallucinations, delusion, insomnia, libido disorders, paranoia, dizziness, nausea; constipation; dyskinesia, fatigue, hyperkinesia, hyperphagia; headache; hypotension; peripheral edema, pneumonia, dyspnea; pruritus, rash & other hypersensitivity; restlessness, somnolence, sudden onset of sleep, syncope, visual disturbance including blurred vision & reduced visual acuity; vomiting, weight decrease, weight increase.";"Fibromyalgia; Parkinson's Disease & Parkinson's Disease Dementia.";Antiparkinsonian Drugs
Histigo;Ifars;Betahistine mesylate;Peripheral vertigo, dizziness related to balance disturbance in blood circulatory disorders or Meniere-like syndrome, Meniere's disease.;Pheochromocytoma.;GI disorders, headache, skin rash, pruritus.;"Nausea & Vomiting; Vertigo.";Antivertigo Drugs
Kurtigo;Ikapharmindo;Betahistine mesylate;Vertigo, dizziness and balance disorders that occur in a circulatory disorder or Meniere's syndrome.;Patients with pheochromocytoma.;GI disturbances. Rarely hypersensitivity eg, rash.;"Nausea & Vomiting; Vertigo.";Antivertigo Drugs
Mertigo/Mertigo SR;Dexa Medica;Betahistine mesylate;"Relief of vertigo & dizziness associated with Meniere's disease or syndrome; peripheral vertigo.";Hypersensitivity to cetirizine, hydroxyzine or to any component of the drug. Pregnancy & lactation.;"Mild gastric complaints, nausea, vomiting, other GI disorders; hypersensitivity reactions eg, skin rashes.";"Nausea & Vomiting; Vertigo.";Antivertigo Drugs
Vastigo;Dexa Medica;Betahistine mesylate;Relief of vertigo, dizziness associated with balance disorders that occur in blood circulatory disorder or Meniere's syndrome, Meniere's disease, peripheral vertigo.;Pheochromocytoma.;GI disturbances eg, nausea, vomiting. Rarely, hypersensitivity reactions.;"Nausea & Vomiting; Vertigo.";Antivertigo Drugs
